Admin_2,pcode_admin2,POP_Males_2012,Pop_FEMALE_2012,Total_Pop_2012,Household_No,Ave_Household_size
Bulawayo , ZW1021 ,304446,351229,655675,167092,114
Harare, ZW1921 ,763244,818643,1581887,400261,180
Chitungwiza, ZW1922 ,167541,186931,354472,87103,100
Epworth, ZW1923 ,81046,80794,161840,44603,28
Buhera, ZW1101 ,114231,132231,246462,57126,143
Chimanimani, ZW1102 ,64332,69478,133810,32801,92
Chipinge, ZW1103 ,150993,175474,326467,73260,169
Makoni, ZW1104 ,133583,139706,273289,63887,166
Mutare, ZW1105 ,214504,234306,448810,106658,238
Mutasa, ZW1106 ,79825,89931,169756,42479,121
Nyanga, ZW1107 ,60021,65667,125688,32359,120
Rusape, ZW1122 ,14273,16445,30718,8301,39
Bindura, ZW1201 ,83154,85039,168193,39741,137
Muzarabani, ZW1202 ,60226,60502,120728,26843,132
Guruve, ZW1203 ,60304,63163,123467,27953,109
Mazowe, ZW1204 ,114309,118576,232885,63632,140
Mount Darwin, ZW1205 ,103070,109120,212190,47726,181
Rushinga, ZW1206 ,33803,36745,70548,16331,107
Shamva, ZW1207 ,59431,60099,119530,27552,124
Mbire, ZW1208 ,40434,41474,81908,18130,80
Mvurwi, ZW1209 ,4971,5520,10491,2709,24
Chikomba, ZW1301 ,58000,63162,121162,30655,120
Goromonzi, ZW1302 ,110373,113506,223879,56248,100
Hwedza, ZW1303 ,34439,36034,70473,17273,62
Marondera, ZW1304 ,87544,91003,178547,46505,140
Mudzi, ZW1305 ,62856,69761,132617,32443,73
Murehwa, ZW1306 ,93367,101718,195085,46679,122
Mutoko, ZW1307 ,70567,75109,145676,35372,122
Seke, ZW1308 ,50439,50698,101137,24786,88
Uzumba Maramba Pfungwe, ZW1309 ,53999,58151,112150,25949,73
Ruwa, ZW1326 ,26623,29710,56333,13807,36
Chegutu, ZW1401 ,98496,100361,198857,49009,166
Hurungwe, ZW1402 ,162289,162386,324675,70028,127
Mhondoro-Ngezi, ZW1427 ,54216,49845,104061,23630,71
Kariba, ZW1404 ,33871,34291,68162,16454,89
Makonde, ZW1405 ,75237,73582,148819,32214,90
Zvimba, ZW1406 ,122562,122927,245489,58304,147
Sanyati, ZW1428 ,57333,55887,113220,25257,82
Chinhoyi, ZW1421 ,80662,88815,169477,41923,130
Norton, ZW1425 ,27938,30483,58421,14482,52
Karoi, ZW1426 ,8614,10143,18757,4961,39
Binga, ZW1501 ,63512,74562,138074,31675,110
Bubi, ZW1502 ,31898,30290,62188,14107,104
Hwange, ZW1503 ,49505,50746,100251,24796,142
Lupane, ZW1504 ,47233,51631,98864,19160,144
Nkayi, ZW1505 ,52241,57130,109371,21473,154
Tsholotsho, ZW1506 ,52629,61266,113895,24151,106
Umguza, ZW1507 ,45949,41569,87518,19495,91
Victoria Falls, ZW1522 ,16206,17504,33710,9109,44
Beitbridge, ZW1601 ,58093,64460,122553,30555,92
Bulilima, ZW1602 ,41913,48844,90757,19761,104
Mangwe, ZW1603 ,36877,41788,78665,17079,107
Gwanda, ZW1604 ,66131,70646,136777,32429,148
Insiza, ZW1605 ,49181,50612,99793,21401,110
Matobo, ZW1606 ,45018,48973,93991,20749,112
Umzingwane, ZW1607 ,30796,31714,62510,14450,90
Chirumhanzu, ZW1701 ,38411,42676,81087,19736,102
Gokwe North, ZW1702 ,118181,126795,244976,49584,183
Gokwe South, ZW1703 ,148279,158971,307250,63224,165
Gweru, ZW1704 ,119377,131984,251361,61905,159
Kwekwe, ZW1705 ,135375,140915,276290,62886,212
Mberengwa, ZW1706 ,87085,99079,186164,38852,185
Shurugwi, ZW1707 ,49134,50782,99916,22901,162
Zvishavane, ZW1708 ,55286,60086,115372,27168,129
Redcliff, ZW1723 ,17197,18727,35924,9458,36
Gokwe South Urban, ZW1729 ,10908,13228,24136,6395,23
Bikita, ZW1801 ,73690,88013,161703,37767,132
Chiredzi, ZW1802 ,133385,143457,276842,64865,143
Chivi, ZW1803 ,75902,90375,166277,36382,154
Gutu, ZW1804 ,94676,108857,203533,48244,170
Masvingo, ZW1805 ,140431,159855,300286,71232,199
Mwenezi, ZW1806 ,76805,89458,166263,33967,88
Zaka, ZW1807 ,81980,99126,181106,40250,158
Chiredzi Urban, ZW1822 ,14481,16113,30594,8490,31
